pipeline,phase,metric,exp1_best,exp2_best,delta_best,exp1_mean,exp2_mean,delta_mean
traditional,val,f1_macro,0.4992,0.556,0.0568,0.324,0.3507,0.0267
traditional,val,f1_micro,0.5682,0.5891,0.0209,0.4107,0.4328,0.0221
traditional,val,f1_weighted,0.5473,0.5935,0.0462,0.3851,0.4122,0.0271
traditional,val,subset_accuracy,0.4956,0.4956,0.0,0.2933,0.2991,0.0058
traditional,val,hamming_loss,0.177,0.1987,0.0217,0.1147,0.1194,0.0048
traditional,test,f1_macro,0.509,0.5498,0.0409,0.4023,0.4381,0.0358
traditional,test,f1_micro,0.5514,0.5784,0.027,0.4701,0.487,0.0169
traditional,test,f1_weighted,0.5516,0.5837,0.0321,0.4602,0.485,0.0249
traditional,test,subset_accuracy,0.462,0.462,0.0,0.307,0.3254,0.0184
traditional,test,hamming_loss,0.1765,0.1718,-0.0047,0.1271,0.1253,-0.0018
dl,val,f1_macro,0.5185,0.5359,0.0173,0.2208,0.3022,0.0814
dl,val,f1_micro,0.5747,0.5667,-0.0079,0.2877,0.3474,0.0597
dl,val,f1_weighted,0.5622,0.5757,0.0135,0.2684,0.3554,0.087
dl,val,subset_accuracy,0.411,0.2867,-0.1243,0.1837,0.0718,-0.1118
dl,val,hamming_loss,0.1932,0.8068,0.6135,0.0919,0.2677,0.1758
dl,test,f1_macro,0.4825,0.5154,0.0328,0.3266,0.3968,0.0702
dl,test,f1_micro,0.5497,0.5622,0.0125,0.4094,0.463,0.0536
dl,test,f1_weighted,0.5322,0.5559,0.0237,0.3901,0.4585,0.0683
dl,test,subset_accuracy,0.3857,0.3851,-0.0006,0.2666,0.2759,0.0093
dl,test,hamming_loss,0.1441,0.1569,0.0128,0.0844,0.0952,0.0108
transformers,val,f1_macro,0.6355,0.6225,-0.013,0.3848,0.4547,0.0698
transformers,val,f1_micro,0.6629,0.6517,-0.0112,0.4571,0.5051,0.048
transformers,val,f1_weighted,0.6616,0.6542,-0.0074,0.4393,0.5121,0.0728
transformers,val,subset_accuracy,0.5369,0.4497,-0.0872,0.343,0.2828,-0.0602
transformers,val,hamming_loss,0.1378,0.1965,0.0588,0.0828,0.1088,0.0259
transformers,test,f1_macro,0.6219,0.6092,-0.0127,0.3808,0.4534,0.0726
transformers,test,f1_micro,0.6516,0.6413,-0.0103,0.4597,0.5017,0.042
transformers,test,f1_weighted,0.6504,0.6426,-0.0078,0.4396,0.507,0.0674
transformers,test,subset_accuracy,0.5178,0.4594,-0.0584,0.3392,0.2983,-0.041
transformers,test,hamming_loss,0.1364,0.1915,0.0551,0.0788,0.105,0.0263
